treat,village_code,female,bl_has_children,bl_own_livestock,bl_emp_self,bl_emp_wage,el_health_index
0,10105011,1,1,0,1,0,.9027203
0,10105011,1,1,0,0,0,-1.693991
0,10105011,1,1,0,1,0,.8031585
0,10105011,1,1,0,0,0,-.3692628
0,10105011,1,1,1,0,0,.8616591
1,10105012,0,1,0,0,0,.0114798
1,10105012,0,0,0,0,0,1.007228
1,10105012,1,1,0,1,0,1.136443
1,10105012,1,1,1,0,0,.2187131
1,10105012,0,1,0,0,1,.8393267
1,10105012,0,0,0,1,0,.9304073
1,10105012,1,1,0,0,0,.5050742
1,10105012,1,1,1,0,0,.2344689
1,10105013,1,0,0,1,0,.146621
1,10105013,0,1,0,0,0,-.2705488
1,10105013,1,0,1,0,0,.0414555
1,10105013,1,1,0,0,0,1.136443
1,10105013,1,1,0,0,0,.6137246
1,10105013,1,1,0,1,0,.2344689
1,10105013,1,0,0,0,0,1.120687
1,10105013,0,1,0,0,0,.91943
1,10105014,1,1,1,0,0,.9559033
1,10105014,1,1,0,1,0,1.136443
1,10105014,1,1,0,1,0,.1265023
1,10105014,1,0,0,1,0,-1.105715
1,10105014,0,1,1,1,0,-.8035039
1,10105014,1,1,0,1,0,.9716591
0,10105015,0,1,1,0,0,1.013759
0,10105015,1,1,0,1,0,1.026443
0,10105015,1,0,0,0,0,1.010687
0,10105015,0,1,1,0,1,-2.859809
0,10105015,1,1,1,1,0,.8616591
0,10105015,0,1,1,0,1,1.013759
1,10106004,1,1,0,1,0,-1.642349
1,10106004,0,1,0,0,1,-.3236468
1,10106004,0,1,1,0,1,-.1986485
1,10106004,1,1,0,1,0,.6269553
1,10106006,0,1,0,0,1,1.068659
1,10106006,0,0,1,0,0,1.123759
1,10106006,0,0,0,0,1,-.3525168
1,10106006,1,1,0,0,0,-.3309992
1,10106006,0,1,0,0,0,.517567
1,10106006,1,1,1,0,0,.9716591
0,10106007,0,1,1,1,0,-.2002111
0,10106007,1,1,0,0,0,-.0403148
0,10106007,0,1,0,1,0,-.5468614
0,10106007,0,1,0,1,1,-.141176
0,10106007,0,1,0,0,1,-2.61928
0,10106007,0,1,1,0,1,-.0047455
0,10106007,0,1,0,1,0,.0969454
1,10106009,1,1,0,0,0,.2344689
1,10106009,0,1,0,0,1,-.3859926
1,10106009,0,1,0,0,1,.06658
1,10106009,1,1,0,0,0,.2344689
1,10106009,0,0,0,0,1,.2217854
1,10106009,0,0,0,1,0,.2217854
1,10106009,1,0,0,1,0,-.4039502
0,10106013,0,1,0,0,1,-.0836802
0,10106013,1,0,0,0,0,.4106721
0,10106013,0,1,0,0,1,.5627723
0,10106013,1,1,1,0,0,-.3548068
0,10106013,0,1,0,1,0,.1117854
0,10106013,1,1,0,0,0,-.0403148
0,10201005,1,1,0,0,0,.5754559
0,10201005,1,1,0,0,0,-1.67064
0,10201005,0,1,0,0,0,.1117854
0,10201005,1,1,0,0,1,.0904925
0,10201005,1,1,0,0,0,.5754559
0,10201005,1,1,1,0,0,.1244689
1,10201006,1,1,0,1,0,.3330247
1,10201006,1,1,0,0,1,1.136443
1,10201006,0,1,0,0,1,1.123759
1,10201006,1,0,1,0,0,-.3176343
1,10201006,1,1,0,0,0,1.136443
1,10201006,0,1,1,0,0,.2217854
1,10201007,1,1,0,0,0,.1917241
1,10201007,1,1,0,0,0,1.028476
1,10201007,1,0,1,0,0,-.1818289
1,10201007,1,1,0,0,0,.5978515
1,10201007,0,1,1,0,1,-1.303615
1,10201007,1,1,1,0,0,.0961761
0,10201008,1,1,0,0,0,.3732303
0,10201008,1,1,0,0,0,.1117854
0,10201008,1,1,0,0,0,.1087131
0,10201008,1,0,1,0,0,-1.969262
0,10201008,1,0,1,0,0,-.7212301
0,10201008,1,1,1,0,0,-.270707
0,10201008,0,1,0,0,1,-.3485101
0,10201010,1,1,0,0,0,-1.669549
0,10201010,1,1,1,0,1,1.026443
0,10201010,1,1,0,0,0,-.0560707
0,10201010,0,0,0,0,0,.5627723
0,10201010,1,1,0,0,0,.1244689
0,10201010,1,1,0,0,0,-.0988155
0,10201010,0,1,0,1,0,1.013759
